Feature,F-value,p-value
YearRemodAdd_1977.0,1.9910708309925322,0.15844229669013302
YearRemodAdd_1978.0,1.3047234977152187,0.25353976598076605
YearRemodAdd_1979.0,1.4908892330580181,0.22227595516963658
YearRemodAdd_1980.0,1.3071381118312442,0.2531011579231174
YearRemodAdd_1981.0,0.015637125251936272,0.9005023996217669
YearRemodAdd_1982.0,3.9735728797900194,0.046405669973508486
YearRemodAdd_1983.0,1.542530284200647,0.21444131208627293
YearRemodAdd_1984.0,0.01788574728101928,0.8936285235918116
YearRemodAdd_1985.0,0.25407484320380347,0.6142965147877839
YearRemodAdd_1986.0,0.05711398689644663,0.8111505471352621
YearRemodAdd_1987.0,1.3299484486966968,0.24900341080027646
YearRemodAdd_1988.0,0.13249630198967877,0.7159104770885334
YearRemodAdd_1989.0,0.5313489407865658,0.4661573587833553
YearRemodAdd_1990.0,0.8779027100117176,0.3489319263905212
YearRemodAdd_1991.0,0.032203630933387815,0.8576064030871565
YearRemodAdd_1992.0,0.2360741567112134,0.6271290665378505
YearRemodAdd_1993.0,5.1606225278343665,0.02324978525125698
YearRemodAdd_1994.0,4.678123379418948,0.030711209779217482
YearRemodAdd_1995.0,3.3748404908730447,0.06640241915184836
YearRemodAdd_1996.0,5.884435900042814,0.01539597710961238
YearRemodAdd_1997.0,4.488004728820779,0.034302243493108585
YearRemodAdd_1998.0,3.94449796697448,0.047211880441684624
YearRemodAdd_1999.0,2.513595097045554,0.11308503138105781
YearRemodAdd_2000.0,0.2705369248117708,0.6030507899831719
YearRemodAdd_2001.0,0.32048584414536285,0.5714029368542435
YearRemodAdd_2002.0,9.23080857408261,0.0024220596254882964
YearRemodAdd_2003.0,1.6362159414679311,0.20104898543759467
YearRemodAdd_2004.0,2.0708613626334547,0.15035134441078118
YearRemodAdd_2005.0,10.754951909020228,0.0010645400679169738
YearRemodAdd_2006.0,39.83915764416937,3.650952615314574e-10
YearRemodAdd_2007.0,24.86706427868619,6.878253314616141e-07
YearRemodAdd_2008.0,53.21032287923656,4.900334633834324e-13
YearRemodAdd_2009.0,40.47341289760272,2.661862960110367e-10
YearRemodAdd_2010.0,23.60454212887034,1.3106742975285583e-06
BsmtFullBath_1.0,76.56209326039256,5.7814966851559156e-18
BsmtFullBath_2.0,2.4834423231968916,0.11526714338830092
BsmtFullBath_3.0,0.0005848404886834089,0.9807095681519371
BsmtHalfBath_1.0,0.3118173765993585,0.576652846560511
BsmtHalfBath_2.0,0.1277569800305885,0.7208208402309044
FullBath_1.0,542.626910202117,2.701887097482437e-102
FullBath_2.0,322.646450953516,2.498452458738114e-65
FullBath_3.0,165.86434126371887,5.0266580391198456e-36
HalfBath_1.0,149.04104107784661,1.0448642177024605e-32
HalfBath_2.0,0.6841232949082297,0.4083058335518197
BedroomAbvGr_1.0,0.49366641394808164,0.4824085038229299
BedroomAbvGr_2.0,39.83916171226209,3.6509452135407104e-10
BedroomAbvGr_3.0,0.005215562026846993,0.9424376508695691
BedroomAbvGr_4.0,64.32931796648411,2.142867412839117e-15
BedroomAbvGr_5.0,3.5202199951014357e-05,0.9952668752895824
BedroomAbvGr_6.0,1.5380651472805333,0.2151055814658291
BedroomAbvGr_8.0,0.05767843092299225,0.8102373921196864
KitchenAbvGr_1.0,29.39654902045559,6.894448306451005e-08
KitchenAbvGr_2.0,27.2410068362872,2.0552795935863245e-07
KitchenAbvGr_3.0,1.6194146573958903,0.20337632136285907
TotRmsAbvGrd_3.0,13.353686587806985,0.00026706034190502806
TotRmsAbvGrd_4.0,57.68714507447601,5.462538833958748e-14
TotRmsAbvGrd_5.0,88.18790577028487,2.208849525180136e-20
TotRmsAbvGrd_6.0,34.60852231672023,4.99221882191127e-09
TotRmsAbvGrd_7.0,16.865342852287554,4.235556524663435e-05
TotRmsAbvGrd_8.0,36.789244408150175,1.674084383682181e-09
TotRmsAbvGrd_9.0,68.05270058073415,3.5175507243354233e-16
TotRmsAbvGrd_10.0,110.05341361105313,7.147989172539367e-25
TotRmsAbvGrd_11.0,56.33804995079554,1.0570651126897469e-13
TotRmsAbvGrd_12.0,17.78175387896412,2.6299493333865136e-05
TotRmsAbvGrd_14.0,0.05767843092299225,0.8102373921196864
Fireplaces_1.0,201.96397868580016,5.0418120694266704e-43
Fireplaces_2.0,73.94053567660373,2.043481962409969e-17
Fireplaces_3.0,4.024701474740692,0.045022967905409474
GarageCars_1.0,256.3510453183339,2.8278470978596846e-53
GarageCars_2.0,2.576677914831672,0.10866561093265255
GarageCars_3.0,862.7530640648775,2.344768496020142e-149
GarageCars_4.0,0.10940211883476153,0.7408733698376646
MoSold_2.0,0.07886618219281634,0.7788796903934947
MoSold_3.0,0.098490474649038,0.7536935928877093
MoSold_4.0,2.19527139826312,0.1386509046094868
MoSold_5.0,2.791404417071058,0.09498575481732202
MoSold_6.0,0.6025230935275138,0.4377428649425217
MoSold_7.0,1.2925681192866174,0.2557620340296196
MoSold_8.0,0.29343045082806346,0.5881133229307721
MoSold_9.0,2.275420481664256,0.13165612370033347
MoSold_10.0,0.027644547833130865,0.8679702841007644
MoSold_11.0,1.687528176904773,0.19413252124669783
MoSold_12.0,0.3051294598287187,0.5807691035004494
YrSold_2007.0,1.7802017179997085,0.18233290735428925
YrSold_2008.0,0.7710485499955423,0.3800375459236097
YrSold_2009.0,0.15444091093501988,0.6943845335115435
YrSold_2010.0,0.39186840288825003,0.5314169032277618
